customer_id,answered,income,female,age,job,num_dependents,rent,own_res,new_car,chk_acct,sav_acct,num_accts,mobile,product
10098,0,-65600,0,24,2,1,0,1,1,1,1,3,0,0
184,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
194,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
689,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
811,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
811,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
1349,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
1349,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
1349,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
1742,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
1982,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
2012,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
2048,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
2103,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
2147,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
2451,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
2728,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
2764,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
2893,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
3018,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
3748,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
3897,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
3990,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
4284,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
4539,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
4640,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
4729,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
4794,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
4821,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
4845,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
5227,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
5505,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
5704,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
6167,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
6328,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
6483,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
6525,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
6965,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
7113,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
7390,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
7861,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
7883,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
7945,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
8030,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
8126,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
8533,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
9005,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
9053,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
9460,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
9995,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
10134,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
10544,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
10662,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
